scheduler,total_sequences,total_frames,enhanced_sequences,original_sequences,enhanced_frames,enhanced_frame_fraction,relative_cost,standard_policy_sequences,strict_policy_sequences,crowded_scene_policy_sequences,stream_policy_distribution
Cost-Agent,50,5466,26,24,2990,0.547,2.641,26,5,19,HRTI-enhanced detector stream + BoT-SORT standard policy: 6; HRTI-enhanced detector stream + BoT-SORT strict policy: 1; HRTI-enhanced detector stream + TCR crowded-scene policy: 19; Original detector stream + BoT-SORT standard policy: 20; Original detector stream + BoT-SORT strict policy: 4
"Cost-Agent, training-derived normalization",50,5466,26,24,2994,0.548,2.643,26,5,19,HRTI-enhanced detector stream + BoT-SORT standard policy: 7; HRTI-enhanced detector stream + TCR crowded-scene policy: 19; Original detector stream + BoT-SORT standard policy: 19; Original detector stream + BoT-SORT strict policy: 5
Density-only scheduler,50,5466,28,22,3006,0.550,2.650,26,5,19,HRTI-enhanced detector stream + BoT-SORT standard policy: 9; HRTI-enhanced detector stream + TCR crowded-scene policy: 19; Original detector stream + BoT-SORT standard policy: 17; Original detector stream + BoT-SORT strict policy: 5
Uncertainty-only scheduler,50,5466,29,21,2993,0.548,2.643,26,5,19,HRTI-enhanced detector stream + BoT-SORT standard policy: 9; HRTI-enhanced detector stream + BoT-SORT strict policy: 4; HRTI-enhanced detector stream + TCR crowded-scene policy: 16; Original detector stream + BoT-SORT standard policy: 17; Original detector stream + BoT-SORT strict policy: 1; Original detector stream + TCR crowded-scene policy: 3
Detector-delta-only scheduler,50,5466,28,22,2988,0.547,2.640,26,5,19,HRTI-enhanced detector stream + BoT-SORT standard policy: 14; HRTI-enhanced detector stream + BoT-SORT strict policy: 1; HRTI-enhanced detector stream + TCR crowded-scene policy: 13; Original detector stream + BoT-SORT standard policy: 12; Original detector stream + BoT-SORT strict policy: 4; Original detector stream + TCR crowded-scene policy: 6
Fixed random scheduler,50,5466,31,19,3004,0.550,2.649,26,6,18,HRTI-enhanced detector stream + BoT-SORT standard policy: 14; HRTI-enhanced detector stream + BoT-SORT strict policy: 5; HRTI-enhanced detector stream + TCR crowded-scene policy: 12; Original detector stream + BoT-SORT standard policy: 12; Original detector stream + BoT-SORT strict policy: 1; Original detector stream + TCR crowded-scene policy: 6
